[I 2023-08-09 11:49:51,247] A new study created in memory with name: no-name-8317af28-a39a-4a42-8212-236995cba082
[I 2023-08-09 12:41:39,712] Trial 27 finished with value: 0.6399320000000001 and parameters: {'alpha': 6, 'beta': 3.0, 'l1_in': 192, 'actor_l2_in': 128, 'actor_l3_in': 192, 'actor_l4_in': 192, 'critic_l2_in': 64, 'critic_l3_in': 256, 'critic_l4_in': 256, 'actor_lr': 0.0001}. Best is trial 26 with value: 0.7969999999999999.
[I 2023-08-09 12:43:35,018] Trial 28 finished with value: 0.5483180000000001 and parameters: {'alpha': 4, 'beta': 2.0, 'l1_in': 192, 'actor_l2_in': 256, 'actor_l3_in': 192, 'actor_l4_in': 192, 'critic_l2_in': 64, 'critic_l3_in': 256, 'critic_l4_in': 256, 'actor_lr': 0.0001}. Best is trial 26 with value: 0.7969999999999999.
[I 2023-08-09 12:45:17,414] Trial 29 finished with value: 0.6729100000000001 and parameters: {'alpha': 2, 'beta': 1.5, 'l1_in': 256, 'actor_l2_in': 128, 'actor_l3_in': 192, 'actor_l4_in': 192, 'critic_l2_in': 128, 'critic_l3_in': 64, 'critic_l4_in': 128, 'actor_lr': 0.0002}. Best is trial 26 with value: 0.7969999999999999.
[I 2023-08-09 12:47:09,629] Trial 30 finished with value: 0.763784 and parameters: {'alpha': 2, 'beta': 3.0, 'l1_in': 192, 'actor_l2_in': 192, 'actor_l3_in': 192, 'actor_l4_in': 192, 'critic_l2_in': 192, 'critic_l3_in': 128, 'critic_l4_in': 64, 'actor_lr': 0.0001}. Best is trial 26 with value: 0.7969999999999999.
[I 2023-08-09 12:49:03,712] Trial 31 finished with value: 0.7410979999999999 and parameters: {'alpha': 2, 'beta': 2.0, 'l1_in': 192, 'actor_l2_in': 192, 'actor_l3_in': 192, 'actor_l4_in': 256, 'critic_l2_in': 64, 'critic_l3_in': 256, 'critic_l4_in': 256, 'actor_lr': 0.0001}. Best is trial 26 with value: 0.7969999999999999.
[I 2023-08-09 12:50:49,024] Trial 32 finished with value: 0.59185 and parameters: {'alpha': 2, 'beta': 2.0, 'l1_in': 128, 'actor_l2_in': 192, 'actor_l3_in': 64, 'actor_l4_in': 64, 'critic_l2_in': 64, 'critic_l3_in': 256, 'critic_l4_in': 256, 'actor_lr': 0.0005}. Best is trial 26 with value: 0.7969999999999999.
[I 2023-08-09 12:52:41,053] Trial 33 finished with value: 0.5164599999999999 and parameters: {'alpha': 6, 'beta': 2.0, 'l1_in': 256, 'actor_l2_in': 192, 'actor_l3_in': 128, 'actor_l4_in': 128, 'critic_l2_in': 64, 'critic_l3_in': 256, 'critic_l4_in': 256, 'actor_lr': 0.0008}. Best is trial 26 with value: 0.7969999999999999.
[I 2023-08-09 12:54:25,511] Trial 34 finished with value: 0.737352 and parameters: {'alpha': 2, 'beta': 2.0, 'l1_in': 192, 'actor_l2_in': 64, 'actor_l3_in': 64, 'actor_l4_in': 64, 'critic_l2_in': 64, 'critic_l3_in': 256, 'critic_l4_in': 256, 'actor_lr': 0.0003}. Best is trial 26 with value: 0.7969999999999999.
[I 2023-08-09 12:56:15,862] Trial 35 finished with value: 0.7826139999999999 and parameters: {'alpha': 2, 'beta': 2.5, 'l1_in': 128, 'actor_l2_in': 192, 'actor_l3_in': 192, 'actor_l4_in': 192, 'critic_l2_in': 64, 'critic_l3_in': 256, 'critic_l4_in': 256, 'actor_lr': 0.0001}. Best is trial 26 with value: 0.7969999999999999.
[I 2023-08-09 12:58:00,819] Trial 36 finished with value: 0.724232 and parameters: {'alpha': 6, 'beta': 1.5, 'l1_in': 64, 'actor_l2_in': 64, 'actor_l3_in': 256, 'actor_l4_in': 128, 'critic_l2_in': 192, 'critic_l3_in': 128, 'critic_l4_in': 128, 'actor_lr': 0.0002}. Best is trial 26 with value: 0.7969999999999999.
