
[I 2023-08-07 13:48:14,518] Trial 43 finished with value: 0.75318 and parameters: {'alpha': 2, 'beta': 2.5, 'l1_in': 128, 'actor_l2_in': 64, 'actor_l3_in': 128, 'actor_l4_in': 128, 'critic_l2_in': 192, 'critic_l3_in': 192, 'critic_l4_in': 192, 'actor_lr': 0.0001}. Best is trial 11 with value: 0.791296.
[I 2023-08-07 13:50:03,879] Trial 44 finished with value: 0.48427600000000004 and parameters: {'alpha': 4, 'beta': 2.0, 'l1_in': 128, 'actor_l2_in': 64, 'actor_l3_in': 128, 'actor_l4_in': 128, 'critic_l2_in': 192, 'critic_l3_in': 256, 'critic_l4_in': 192, 'actor_lr': 0.0005}. Best is trial 11 with value: 0.791296.
[I 2023-08-07 13:51:45,937] Trial 45 finished with value: 0.537782 and parameters: {'alpha': 8, 'beta': 2.0, 'l1_in': 128, 'actor_l2_in': 64, 'actor_l3_in': 192, 'actor_l4_in': 128, 'critic_l2_in': 256, 'critic_l3_in': 192, 'critic_l4_in': 64, 'actor_lr': 0.0001}. Best is trial 11 with value: 0.791296.
[I 2023-08-07 13:53:31,781] Trial 46 finished with value: 0.5425340000000001 and parameters: {'alpha': 2, 'beta': 3.0, 'l1_in': 128, 'actor_l2_in': 256, 'actor_l3_in': 128, 'actor_l4_in': 128, 'critic_l2_in': 192, 'critic_l3_in': 192, 'critic_l4_in': 192, 'actor_lr': 0.0006}. Best is trial 11 with value: 0.791296.
[I 2023-08-07 13:55:14,501] Trial 47 finished with value: 0.480614 and parameters: {'alpha': 6, 'beta': 2.0, 'l1_in': 64, 'actor_l2_in': 128, 'actor_l3_in': 128, 'actor_l4_in': 128, 'critic_l2_in': 128, 'critic_l3_in': 192, 'critic_l4_in': 192, 'actor_lr': 0.0008}. Best is trial 11 with value: 0.791296.
[I 2023-08-07 13:56:56,592] Trial 48 finished with value: 0.7934840000000001 and parameters: {'alpha': 2, 'beta': 1.5, 'l1_in': 128, 'actor_l2_in': 64, 'actor_l3_in': 256, 'actor_l4_in': 64, 'critic_l2_in': 192, 'critic_l3_in': 128, 'critic_l4_in': 192, 'actor_lr': 0.0001}. Best is trial 48 with value: 0.7934840000000001.
[I 2023-08-07 13:58:38,466] Trial 49 finished with value: 0.5208900000000002 and parameters: {'alpha': 2, 'beta': 1.5, 'l1_in': 128, 'actor_l2_in': 192, 'actor_l3_in': 256, 'actor_l4_in': 64, 'critic_l2_in': 192, 'critic_l3_in': 128, 'critic_l4_in': 128, 'actor_lr': 0.0003}. Best is trial 48 with value: 0.7934840000000001.
[I 2023-08-07 14:00:25,664] Trial 50 finished with value: 0.5842459999999999 and parameters: {'alpha': 4, 'beta': 1.5, 'l1_in': 192, 'actor_l2_in': 64, 'actor_l3_in': 256, 'actor_l4_in': 64, 'critic_l2_in': 64, 'critic_l3_in': 128, 'critic_l4_in': 256, 'actor_lr': 0.0001}. Best is trial 48 with value: 0.7934840000000001.
[I 2023-08-07 14:02:11,070] Trial 51 finished with value: 0.766334 and parameters: {'alpha': 2, 'beta': 1.5, 'l1_in': 128, 'actor_l2_in': 64, 'actor_l3_in': 256, 'actor_l4_in': 64, 'critic_l2_in': 192, 'critic_l3_in': 128, 'critic_l4_in': 192, 'actor_lr': 0.0001}. Best is trial 48 with value: 0.7934840000000001.
[I 2023-08-07 14:03:53,550] Trial 52 finished with value: 0.7505740000000001 and parameters: {'alpha': 2, 'beta': 1.5, 'l1_in': 128, 'actor_l2_in': 64, 'actor_l3_in': 256, 'actor_l4_in': 64, 'critic_l2_in': 192, 'critic_l3_in': 128, 'critic_l4_in': 192, 'actor_lr': 0.0001}. Best is trial 48 with value: 0.7934840000000001.
[I 2023-08-07 14:05:41,036] Trial 53 finished with value: 0.774166 and parameters: {'alpha': 2, 'beta': 2.0, 'l1_in': 128, 'actor_l2_in': 64, 'actor_l3_in': 128, 'actor_l4_in': 256, 'critic_l2_in': 192, 'critic_l3_in': 256, 'critic_l4_in': 192, 'actor_lr': 0.0001}. Best is trial 48 with value: 0.7934840000000001.
[I 2023-08-07 14:07:24,571] Trial 54 finished with value: 0.7744199999999999 and parameters: {'alpha': 2, 'beta': 2.5, 'l1_in': 128, 'actor_l2_in': 64, 'actor_l3_in': 256, 'actor_l4_in': 128, 'critic_l2_in': 192, 'critic_l3_in': 128, 'critic_l4_in': 192, 'actor_lr': 0.0001}. Best is trial 48 with value: 0.7934840000000001.
[I 2023-08-07 14:09:12,912] Trial 55 finished with value: 0.48624600000000007 and parameters: {'alpha': 2, 'beta': 2.0, 'l1_in': 128, 'actor_l2_in': 64, 'actor_l3_in': 128, 'actor_l4_in': 64, 'critic_l2_in': 192, 'critic_l3_in': 64, 'critic_l4_in': 192, 'actor_lr': 0.0009}. Best is trial 48 with value: 0.7934840000000001.
[I 2023-08-07 14:10:57,605] Trial 56 finished with value: 0.620038 and parameters: {'alpha': 10, 'beta': 2.0, 'l1_in': 64, 'actor_l2_in': 256, 'actor_l3_in': 128, 'actor_l4_in': 128, 'critic_l2_in': 192, 'critic_l3_in': 192, 'critic_l4_in': 192, 'actor_lr': 0.0001}. Best is trial 48 with value: 0.7934840000000001.
[I 2023-08-07 14:12:41,790] Trial 57 finished with value: 0.569898 and parameters: {'alpha': 2, 'beta': 1.5, 'l1_in': 128, 'actor_l2_in': 64, 'actor_l3_in': 128, 'actor_l4_in': 128, 'critic_l2_in': 192, 'critic_l3_in': 128, 'critic_l4_in': 192, 'actor_lr': 0.0004}. Best is trial 48 with value: 0.7934840000000001.
[I 2023-08-07 14:14:24,056] Trial 58 finished with value: 0.545064 and parameters: {'alpha': 2, 'beta': 2.0, 'l1_in': 128, 'actor_l2_in': 64, 'actor_l3_in': 192, 'actor_l4_in': 192, 'critic_l2_in': 192, 'critic_l3_in': 192, 'critic_l4_in': 64, 'actor_lr': 0.0003}. Best is trial 48 with value: 0.7934840000000001.
[I 2023-08-07 14:16:10,058] Trial 59 finished with value: 0.5867319999999999 and parameters: {'alpha': 2, 'beta': 2.0, 'l1_in': 128, 'actor_l2_in': 64, 'actor_l3_in': 128, 'actor_l4_in': 128, 'critic_l2_in': 128, 'critic_l3_in': 128, 'critic_l4_in': 192, 'actor_lr': 0.0007}. Best is trial 48 with value: 0.7934840000000001.
[I 2023-08-07 14:18:08,145] Trial 60 finished with value: 0.48435000000000006 and parameters: {'alpha': 8, 'beta': 3.0, 'l1_in': 256, 'actor_l2_in': 128, 'actor_l3_in': 64, 'actor_l4_in': 128, 'critic_l2_in': 256, 'critic_l3_in': 192, 'critic_l4_in': 192, 'actor_lr': 0.0005}. Best is trial 48 with value: 0.7934840000000001.
[I 2023-08-07 14:19:54,592] Trial 61 finished with value: 0.7950400000000001 and parameters: {'alpha': 2, 'beta': 2.0, 'l1_in': 128, 'actor_l2_in': 64, 'actor_l3_in': 128, 'actor_l4_in': 128, 'critic_l2_in': 192, 'critic_l3_in': 192, 'critic_l4_in': 192, 'actor_lr': 0.0001}. Best is trial 61 with value: 0.7950400000000001.
[I 2023-08-07 14:21:39,632] Trial 62 finished with value: 0.763168 and parameters: {'alpha': 2, 'beta': 2.0, 'l1_in': 128, 'actor_l2_in': 64, 'actor_l3_in': 128, 'actor_l4_in': 128, 'critic_l2_in': 192, 'critic_l3_in': 192, 'critic_l4_in': 192, 'actor_lr': 0.0001}. Best is trial 61 with value: 0.7950400000000001.
[I 2023-08-07 14:23:26,154] Trial 63 finished with value: 0.766918 and parameters: {'alpha': 2, 'beta': 2.0, 'l1_in': 128, 'actor_l2_in': 64, 'actor_l3_in': 128, 'actor_l4_in': 128, 'critic_l2_in': 192, 'critic_l3_in': 192, 'critic_l4_in': 192, 'actor_lr': 0.0001}. Best is trial 61 with value: 0.7950400000000001.
[I 2023-08-07 14:25:10,646] Trial 64 finished with value: 0.782356 and parameters: {'alpha': 2, 'beta': 2.0, 'l1_in': 128, 'actor_l2_in': 64, 'actor_l3_in': 128, 'actor_l4_in': 128, 'critic_l2_in': 192, 'critic_l3_in': 192, 'critic_l4_in': 192, 'actor_lr': 0.0001}. Best is trial 61 with value: 0.7950400000000001.
[I 2023-08-07 14:26:56,594] Trial 65 finished with value: 0.48998600000000003 and parameters: {'alpha': 2, 'beta': 2.0, 'l1_in': 128, 'actor_l2_in': 64, 'actor_l3_in': 128, 'actor_l4_in': 256, 'critic_l2_in': 192, 'critic_l3_in': 192, 'critic_l4_in': 192, 'actor_lr': 0.0006}. Best is trial 61 with value: 0.7950400000000001.
[I 2023-08-07 14:28:39,889] Trial 66 finished with value: 0.7993020000000002 and parameters: {'alpha': 2, 'beta': 2.0, 'l1_in': 128, 'actor_l2_in': 64, 'actor_l3_in': 128, 'actor_l4_in': 128, 'critic_l2_in': 192, 'critic_l3_in': 192, 'critic_l4_in': 128, 'actor_lr': 0.0001}. Best is trial 66 with value: 0.7993020000000002.
[I 2023-08-07 14:30:21,601] Trial 67 finished with value: 0.565762 and parameters: {'alpha': 6, 'beta': 2.0, 'l1_in': 128, 'actor_l2_in': 64, 'actor_l3_in': 128, 'actor_l4_in': 128, 'critic_l2_in': 192, 'critic_l3_in': 256, 'critic_l4_in': 128, 'actor_lr': 0.0001}. Best is trial 66 with value: 0.7993020000000002.
[I 2023-08-07 14:32:07,106] Trial 68 finished with value: 0.7722399999999999 and parameters: {'alpha': 2, 'beta': 2.5, 'l1_in': 64, 'actor_l2_in': 192, 'actor_l3_in': 256, 'actor_l4_in': 128, 'critic_l2_in': 192, 'critic_l3_in': 192, 'critic_l4_in': 128, 'actor_lr': 0.0002}. Best is trial 66 with value: 0.7993020000000002.
[I 2023-08-07 14:33:52,330] Trial 69 finished with value: 0.7750940000000001 and parameters: {'alpha': 2, 'beta': 2.0, 'l1_in': 128, 'actor_l2_in': 256, 'actor_l3_in': 128, 'actor_l4_in': 64, 'critic_l2_in': 192, 'critic_l3_in': 128, 'critic_l4_in': 128, 'actor_lr': 0.0001}. Best is trial 66 with value: 0.7993020000000002.
[I 2023-08-07 14:35:46,589] Trial 70 finished with value: 0.47938200000000003 and parameters: {'alpha': 10, 'beta': 1.5, 'l1_in': 128, 'actor_l2_in': 64, 'actor_l3_in': 128, 'actor_l4_in': 192, 'critic_l2_in': 64, 'critic_l3_in': 64, 'critic_l4_in': 128, 'actor_lr': 0.0008}. Best is trial 66 with value: 0.7993020000000002.
[I 2023-08-07 14:37:30,738] Trial 71 finished with value: 0.769486 and parameters: {'alpha': 2, 'beta': 2.0, 'l1_in': 128, 'actor_l2_in': 64, 'actor_l3_in': 128, 'actor_l4_in': 128, 'critic_l2_in': 192, 'critic_l3_in': 192, 'critic_l4_in': 192, 'actor_lr': 0.0001}. Best is trial 66 with value: 0.7993020000000002.
